twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.6000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.6000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.6000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.6000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size    12781, 9602667 req, miss ratio 0.4763, byte miss ratio 0.4763
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size   127815, 9602667 req, miss ratio 0.4535, byte miss ratio 0.4535
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.5000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.5000 cache size    12781, 9602667 req, miss ratio 0.4766, byte miss ratio 0.4766
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.5000 cache size    42605, 9602667 req, miss ratio 0.4643, byte miss ratio 0.4643
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.5000 cache size   127815, 9602667 req, miss ratio 0.4542, byte miss ratio 0.4542
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.5000 cache size   426050, 9602667 req, miss ratio 0.4462, byte miss ratio 0.4462
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.5000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.5000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.5000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.0000 cache size     4260, 9602667 req, miss ratio 0.4790, byte miss ratio 0.4790
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.0000 cache size    12781, 9602667 req, miss ratio 0.4759, byte miss ratio 0.4759
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.0000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.0000 cache size   127815, 9602667 req, miss ratio 0.4535, byte miss ratio 0.4535
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.0000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.0000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.0000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.0000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.5000 cache size     4260, 9602667 req, miss ratio 0.4788, byte miss ratio 0.4788
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.5000 cache size    12781, 9602667 req, miss ratio 0.4765, byte miss ratio 0.4765
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.5000 cache size    42605, 9602667 req, miss ratio 0.4639, byte miss ratio 0.4639
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.5000 cache size   127815, 9602667 req, miss ratio 0.4539, byte miss ratio 0.4539
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.5000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.5000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.5000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.5000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size     4260, 9602667 req, miss ratio 0.4788, byte miss ratio 0.4788
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size    12781, 9602667 req, miss ratio 0.4765, byte miss ratio 0.4765
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size    42605, 9602667 req, miss ratio 0.4640, byte miss ratio 0.4640
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size   127815, 9602667 req, miss ratio 0.4540, byte miss ratio 0.4540
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size   426050, 9602667 req, miss ratio 0.4461, byte miss ratio 0.4461
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.4000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size     4260, 9602667 req, miss ratio 0.4790, byte miss ratio 0.4790
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size    12781, 9602667 req, miss ratio 0.4763, byte miss ratio 0.4763
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size   127815, 9602667 req, miss ratio 0.4535, byte miss ratio 0.4535
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    12781, 9602667 req, miss ratio 0.4765, byte miss ratio 0.4765
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    42605, 9602667 req, miss ratio 0.4638, byte miss ratio 0.4638
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   127815, 9602667 req, miss ratio 0.4538, byte miss ratio 0.4538
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.6000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.6000 cache size    12781, 9602667 req, miss ratio 0.4766, byte miss ratio 0.4766
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.6000 cache size    42605, 9602667 req, miss ratio 0.4643, byte miss ratio 0.4643
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.6000 cache size   127815, 9602667 req, miss ratio 0.4543, byte miss ratio 0.4543
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.6000 cache size   426050, 9602667 req, miss ratio 0.4463, byte miss ratio 0.4463
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.6000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.6000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.6000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size    12781, 9602667 req, miss ratio 0.4766, byte miss ratio 0.4766
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size    42605, 9602667 req, miss ratio 0.4641, byte miss ratio 0.4641
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size   127815, 9602667 req, miss ratio 0.4541, byte miss ratio 0.4541
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size   426050, 9602667 req, miss ratio 0.4462, byte miss ratio 0.4462
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.2000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.4000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.4000 cache size    12781, 9602667 req, miss ratio 0.4766, byte miss ratio 0.4766
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.4000 cache size    42605, 9602667 req, miss ratio 0.4641, byte miss ratio 0.4641
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.4000 cache size   127815, 9602667 req, miss ratio 0.4541, byte miss ratio 0.4541
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.4000 cache size   426050, 9602667 req, miss ratio 0.4461, byte miss ratio 0.4461
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.4000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.4000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.4000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.0000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.0000 cache size    12781, 9602667 req, miss ratio 0.4766, byte miss ratio 0.4766
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.0000 cache size    42605, 9602667 req, miss ratio 0.4643, byte miss ratio 0.4643
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.0000 cache size   127815, 9602667 req, miss ratio 0.4542, byte miss ratio 0.4542
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.0000 cache size   426050, 9602667 req, miss ratio 0.4462, byte miss ratio 0.4462
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.0000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.0000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.0000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size    12781, 9602667 req, miss ratio 0.4765, byte miss ratio 0.4765
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size    42605, 9602667 req, miss ratio 0.4638, byte miss ratio 0.4638
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size   127815, 9602667 req, miss ratio 0.4538, byte miss ratio 0.4538
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.0000 cache size     4260, 9602667 req, miss ratio 0.4790, byte miss ratio 0.4790
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.0000 cache size    12781, 9602667 req, miss ratio 0.4761, byte miss ratio 0.4761
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.0000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.0000 cache size   127815, 9602667 req, miss ratio 0.4535, byte miss ratio 0.4535
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.0000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.0000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.0000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.0000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.7000 cache size     4260, 9602667 req, miss ratio 0.4790, byte miss ratio 0.4790
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.7000 cache size    12781, 9602667 req, miss ratio 0.4763, byte miss ratio 0.4763
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.7000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.7000 cache size   127815, 9602667 req, miss ratio 0.4535, byte miss ratio 0.4535
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.7000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.7000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.7000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.7000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.2000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.2000 cache size    12781, 9602667 req, miss ratio 0.4766, byte miss ratio 0.4766
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.2000 cache size    42605, 9602667 req, miss ratio 0.4643, byte miss ratio 0.4643
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.2000 cache size   127815, 9602667 req, miss ratio 0.4542, byte miss ratio 0.4542
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.2000 cache size   426050, 9602667 req, miss ratio 0.4462, byte miss ratio 0.4462
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.2000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.2000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.2000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.2000 cache size     4260, 9602667 req, miss ratio 0.4790, byte miss ratio 0.4790
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.2000 cache size    12781, 9602667 req, miss ratio 0.4762, byte miss ratio 0.4762
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.2000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.2000 cache size   127815, 9602667 req, miss ratio 0.4535, byte miss ratio 0.4535
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.2000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.2000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.2000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
